Race Name,Date,Location,Distance,Latitude,Longitude,OpenCage Note,Formatted,City/Town,Country,Country Code,Confidence Score,State,State Code,Continent
13th The Most Beautiful Thing (TMBT) 50 km Ultra Trail Marathon,"Aug 30, 2025","Lingkubang, Sabah (MAS)",48km,3.7698,100.9879,ok,"Sabak Bernam, Selangor, Malaysia",,Malaysia,my,4,Selangor,SGR,Asia
19th Suncheon Bay 100 Km Ultramarathon,"Sep 06, 2025",Suncheon City (KOR),102km,34.94808,127.48947,ok,"South Korea, Jeollanam-do Suncheon",,South Korea,kr,7,Jeollanam-do,,Asia
3rd Borneo Trail Classic,"Sep 06, 2025",Kuching (MAS),50km,1.55,110.33333,ok,"Kuching, Sarawak, Malaysia",,Malaysia,my,2,Sarawak,SWK,Asia
6th Ultra-Trail Khao Eto,"Sep 06, 2025",Prachin Buri (THA),100km,14.049683,101.6215702,ok,"Ban Tha Ta Meng, Kabin Buri, Thailand",,Thailand,th,7,Prachin Buri Province,,Asia
6th Ultra-Trail Khao Eto,"Sep 06, 2025",Prachin Buri (THA),58km,14.049683,101.6215702,ok,"Ban Tha Ta Meng, Kabin Buri, Thailand",,Thailand,th,7,Prachin Buri Province,,Asia
4th Silk Route Ultra,"Sep 11, 2025","Kyagar, Nubra Valley (IND)",122km,32.81874,-85.17939,ok,"Valley, Alabama, United States of America",,United States of America,us,6,Alabama,AL,North America
12. Khardung La Challenge (Ladakh Ultramarathon),"Sep 12, 2025",Khardung village (IND),72km,,,ok,,,,,,,,
11th Wuyuezhai International Trail Challenge,"Sep 14, 2025",Shijiazhuang City (CHN),50km,38.04139,114.47861,ok,"Shijiazhuang, Hebei, China",,China,cn,6,Hebei,,Asia
25th Trans Korea 308 km West to East,"Sep 18, 2025","Changhu-ri, Ganghwa (KOR)",308km,,,ok,,,,,,,,
12th Vietnam Mountain Marathon 100km,"Sep 19, 2025",Sapa town (VIE),100km,,,ok,,,,,,,,
6th Utdm 100 Ultra-Trail Doi Muser,"Sep 20, 2025",Mae Sot City (THA),100km,16.71667,98.56667,ok,"Mae Sot, Changwat Tak, Thailand",,Thailand,th,6,Changwat Tak,,Asia
6th Utdm 65 Ultra-Trail Doi Muser,"Sep 20, 2025",Mae Sot City (THA),65km,16.71667,98.56667,ok,"Mae Sot, Changwat Tak, Thailand",,Thailand,th,6,Changwat Tak,,Asia
12th Vietnam Mountain Marathon 70km,"Sep 20, 2025",Sapa town (VIE),70km,,,ok,,,,,,,,
12th Vietnam Mountain Marathon 50km,"Sep 20, 2025",Sapa town (VIE),47km,,,ok,,,,,,,,
3rd Brunei Backyard Ultra,"Sep 27, 2025",Bandar Seri Begawan (BRU),21h,4.94029,114.94806,ok,"Bandar Seri Begawan, Brunei and Muara District, Brunei",,Brunei,bn,5,Brunei and Muara District,,Asia
6th Cheonan Samgeori Ultramarathon - 100km,"Sep 27, 2025",Cheonan (KOR),100km,36.8065,127.1522,ok,"South Korea, Chungcheongnam-do Cheonan",,South Korea,kr,6,Chungcheongnam-do,,Asia
6th Cheonan Samgeori Ultramarathon - 50km,"Sep 27, 2025",Cheonan (KOR),50km,36.8065,127.1522,ok,"South Korea, Chungcheongnam-do Cheonan",,South Korea,kr,6,Chungcheongnam-do,,Asia
3rd Tone River Run Up Journey Run Upstream,"Oct 04, 2025",Saitama Pref. (JPN),121km,,,ok,,,,,,,,
3rd CNX 60K Ultra Marathon,"Oct 04, 2025",Chiang Mai (THA),60km,18.7668427,98.9648781,ok,"Chiang Mai International Airport, 60, Warun Niwet Soi 2, Ban Warun Niwet, Chiang Mai Province 50200, Thailand",,Thailand,th,7,Chiang Mai Province,,Asia
3rd CNX 100K Ultra Marathon,"Oct 04, 2025",Chiang Mai (THA),100km,18.7668427,98.9648781,ok,"Chiang Mai International Airport, 60, Warun Niwet Soi 2, Ban Warun Niwet, Chiang Mai Province 50200, Thailand",,Thailand,th,7,Chiang Mai Province,,Asia
3rd Onigajo 100 Km,"Oct 11, 2025","Kitauwa District, Ehime Pref. (JPN)",100km,,,ok,,,,,,,,
6th Mapawa Ultra Trail 50 Km,"Oct 18, 2025",Mapawa Nature Park (PHI),55km,8.48333,124.65,ok,"Mapawa Nature Park, Philippines",,Philippines,ph,9,,,Asia
32. Ultramarathon Okumusashi,"Oct 19, 2025","Moroyama, Saitama Pref. (JPN)",78km,,,ok,,,,,,,,
8th 800 Heroes - Overlord of Shuishalian 50Km,"Oct 19, 2025",Puli Township (TPE),50km,,,ok,,,,,,,,
8th 800 Heroes - Overlord of Shuishalian 100Km,"Oct 19, 2025",Puli Township (TPE),100km,,,ok,,,,,,,,
4th Shiroishi Minami Zao Ultra,"Oct 25, 2025","Shiroishi, Miyagi (JPN)",74.8km,38.0023671,140.6200214,ok,"Shiroishi, Miyagi Prefecture, Japan",Shiroishi,Japan,jp,4,Miyagi Prefecture,,Asia
3rd Outopia HK Wild 50,"Oct 26, 2025",Hok Tau (HKG),55km,22.50131,114.17264,ok,"Hok Tau Wai, Hong Kong",,Hong Kong,hk,8,,,Asia
13th Trainic world Ogose-Tokigawa Trail Run 50km,"Oct 26, 2025","Ogose, Saitama Pref. (JPN)",51.4km,35.68536,139.75309,ok,Japan,,Japan,jp,1,,,Asia
11th Buddha's Palm 69km Ultramarathon,"Nov 01, 2025",Tamsui District (TPE),69km,25.0780588,121.5051425,ok,"Taiwan, Taipei Shilin District Tamsui River Bridge",Taipei,Taiwan,tw,9,,,Asia
11th Buddha's Palm 50km Ultramarathon Finger,"Nov 01, 2025",Shimen District (TPE),50km,29.5771,111.363,ok,"Chujiang, Hunan, China",,China,cn,7,Hunan,,Asia
11th Buddha's Palm 100km Ultramarathon,"Nov 01, 2025",Tamsui District (TPE),100km,25.0780588,121.5051425,ok,"Taiwan, Taipei Shilin District Tamsui River Bridge",Taipei,Taiwan,tw,9,,,Asia
11th Buddha's Palm 50km Ultramarathon,"Nov 01, 2025",Tamsui District (TPE),50km,25.0780588,121.5051425,ok,"Taiwan, Taipei Shilin District Tamsui River Bridge",Taipei,Taiwan,tw,9,,,Asia
8th 800 Heroes - Overlord of Windy City 101Km,"Nov 02, 2025",Nanzhuang Township (TPE),101.1km,,,ok,,,,,,,,
8th 800 Heroes - Overlord of Windy City 52Km,"Nov 02, 2025",Nanzhuang Township (TPE),52.3km,,,ok,,,,,,,,
3rd Onigajo 100 Miles,"Nov 11, 2025","Kitauwa District, Ehime Pref. (JPN)",100mi,,,ok,,,,,,,,
11. Okinawa Hontō survival run,"Nov 21, 2025","Naha, Okinawa Pref. (JPN)",400km,26.2206464,127.7106871,ok,"DoubleTree by Hilton Naha Shuri Castle, 1-132-1 Sakashita-dōri Street, Shuri-Yamagawacho 3-chome, Naha, Okinawa Prefecture 903-8601, Japan",Naha,Japan,jp,9,Okinawa Prefecture,,Asia
Capital to Country Multi Day Ultra Nepal,"Nov 24, 2025",Sankhu (NEP),123mi/5stages,27.7291,85.46325,ok,"Sānkhu, Nepal",,Nepal,np,7,,,Asia
5th Margalla Backyard Ultra,"Dec 06, 2025",Islamabad City (PAK),24h,33.6222072,73.0665754,ok,"Pak Tea House, Murree Road, Ferozepur Mohallah, Chah Sultan 46300, Pakistan",,Pakistan,pk,9,Punjab,PB,Asia
8th 800 Heroes - Jinshui Camp Trail westward 53Km,"Dec 06, 2025",Fangliao Township (TPE),53km,,,ok,,,,,,,,
8th 800 Heroes - Jinshui Camp Trail 99Km,"Dec 06, 2025",Fangliao Township (TPE),100km,,,ok,,,,,,,,
8th 800 Heroes - Jinshui Camp Trail 106Km,"Dec 06, 2025",Fangliao Township (TPE),106km,,,ok,,,,,,,,
8th 800 Heroes - Jinshui Camp Trail eastward 53Km,"Dec 06, 2025",Dawu Township (TPE),53km,,,ok,,,,,,,,
3rd KL Sundown 2025,"Dec 13, 2025",Kuala Lumpur (MAS),12h,3.119294,101.7249994,ok,"Persatuan Kebajikan dan Perkhidmatan Amitabha Kuala Lumpur & Selangor, Jalan Ikan Mas, Cheras, 51500 Kuala Lumpur, Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,my,9,Kuala Lumpur,KUL,Asia
5. Khaoyai 60K Ultra Road Marathon,"Dec 13, 2025",KhaoYai (THA),60km,,,ok,,,,,,,,
5. Khaoyai 100K Ultra Road Marathon,"Dec 13, 2025",KhaoYai (THA),100km,,,ok,,,,,,,,
10th LKL-DMT 111km,"Jan 16, 2026",Khun Chae NP (THA),111km,,,ok,,,,,,,,
7th Malatra Endurance Run 24h,31.01.-01.02.2026,Putrajaya (MAS),24h,2.93527,101.69112,ok,"Putrajaya, Malaysia",,Malaysia,my,6,Putrajaya,PJY,Asia
8th Vietnam Trail Marathon,"Jan 31, 2026",Moc Chau (VIE),70km,20.85199,104.62177,ok,"Thị Trấn Mộc Châu, Tỉnh Sơn La, Vietnam",,Vietnam,vn,9,Tỉnh Sơn La,,Asia
1st Praying Temple Ultra Run,"Feb 21, 2026",Zhubei City (TPE),46km,24.83833,121.00778,ok,"Zhubei, Hsinchu, Taiwan",,Taiwan,tw,7,Taiwan,,Asia
2nd Izuichi Great Race,"Mar 20, 2026",Numazu City (JPN),250km,35.0960529,138.8630904,ok,"Numazu City Hall, 原木沼津線, 市場町, Numazu, Shizuoka Prefecture 410-0036, Japan",Numazu,Japan,jp,9,Shizuoka Prefecture,,Asia
10th Beigan Ultramarathon,"Mar 21, 2026",Beigan Township (TPE),50km,,,ok,,,,,,,,
10th Borneo Ultra Trail Marathon BUTM - 100 Km,"Apr 11, 2026","Pekan Kiulu, Kota Kinabalu (MAS)",106km,5.9749,116.0724,ok,"Kota Kinabalu, Sabah, Malaysia",,Malaysia,my,3,Sabah,SBH,Asia
10th Borneo Ultra Trail Marathon BUTM - 50 km,"Apr 11, 2026","Pekan Tamparuli, Kota Kinabalu (MAS)",50km,5.9749,116.0724,ok,"Kota Kinabalu, Sabah, Malaysia",,Malaysia,my,3,Sabah,SBH,Asia
33. Ultramarathon Okumusashi Quintet,"Oct 18, 2026","Moroyama, Saitama Pref. (JPN)",78km,,,ok,,,,,,,,
Ultimate Direction BVRT100s,"20-21 Jun, 2025 (Fri - Sat)","Yarraman, Australia",50mi 100km 100mi 200mi,-26.829384,151.985735,ok,"Yarraman QLD 4614, Australia",,Australia,au,5,Queensland,QLD,Oceania
Johnson & Johnson Bondi to Manly Ultra,"25 Oct, 2025 (Sat)","Sydney, Australia",80km,-33.768528,150.956856,ok,"Sydney, New South Wales, Australia",Sydney,Australia,au,1,New South Wales,NSW,Oceania
GC50 Run Festival,"16 Nov, 2025 (Sun)","Coolangatta, Australia",50km,-28.1703323,153.5304637,ok,"Coolangatta QLD 4225, Australia",Gold Coast City,Australia,au,7,Queensland,QLD,Oceania
Two Bays Trail Run,"11 Jan, 2026 (Sun)","Dromana, Australia",55.7km,-38.3418285,144.9655838,ok,"Dromana VIC 3936, Australia",Melbourne,Australia,au,7,Victoria,VIC,Oceania
True Blue Ultra,"17 Jan, 2026 (Sat)","Australind, Australia",50km 75km 100km,-33.2807362,115.7204483,ok,"Australind WA 6233, Australia",,Australia,au,7,Western Australia,WA,Oceania
3 Waters Running Festival,"14 Apr, 2024 (Sun)","Bunbury, Australia",50km,-33.3267797,115.636698,ok,"Bunbury, Western Australia, Australia",Bunbury,Australia,au,3,Western Australia,WA,Oceania
The Cut Ultra Marathon,"26 Oct, 2024 (Sat)","Nerang, Australia",50km,-27.977545,153.3124432,ok,"Nerang QLD 4211, Australia",Gold Coast City,Australia,au,7,Queensland,QLD,Oceania
fisiocrem GC50 Run Festival,"24 Nov, 2024 (Sun)","Coolangatta, Australia",50km,-28.1703323,153.5304637,ok,"Coolangatta QLD 4225, Australia",Gold Coast City,Australia,au,7,Queensland,QLD,Oceania
Trail Trips Triple Crown,"29 Nov, 2024 (Fri)","Gold Coast, Australia",50km,-28.0023731,153.4145987,ok,"Gold Coast City, Queensland, Australia",Gold Coast City,Australia,au,1,Queensland,QLD,Oceania
Bruny Island Ultra Marathon,"30 Nov, 2024 (Sat)","Bruny Island, Australia",64km,-43.2898931,147.2890738,ok,"Alonnah TAS 7150, Australia",,Australia,au,2,Tasmania,TAS,Oceania
Delirious West 200 and 100 Miler,"09-11 Apr, 2025 (Wed - Fri)","Northcliffe, Australia",103mi 211mi,-34.6331785,116.1243645,ok,"Northcliffe WA 6262, Australia",,Australia,au,7,Western Australia,WA,Oceania
Urban Coast Ultra,"21 Apr, 2025 (Mon)","Mullaloo, Australia",64km,-31.777283,115.7427465,ok,"Mullaloo WA 6027, Australia",,Australia,au,7,Western Australia,WA,Oceania
The Great Wheelbarrow Race,"09 May, 2025 (Fri)","Mareeba, Australia",140km,-16.9932257,145.4224301,ok,"Mareeba QLD 4880, Australia",,Australia,au,7,Queensland,QLD,Oceania
Great Ocean Road Marathon,"18 May, 2025 (Sun)","Lorne, Australia",44km 60km,-38.5411691,143.9748166,ok,"Lorne VIC 3232, Australia",,Australia,au,6,Victoria,VIC,Oceania
Calero Trail Run,"May 31, 2025","San Jose, CA (USA)",50k,37.3361663,-121.890591,ok,"San Jose, California, United States of America",San Jose,United States,us,3,California,CA,North America
Spartan Trail Monterey,"Jun 1, 2025","Salinas, CA (USA)",50k,36.6744117,-121.655037,ok,"Salinas, California, United States of America",Salinas,United States,us,6,California,CA,North America
Golden State 50K,"Jun 21, 2025","Salinas, CA (USA)",50k,36.6744117,-121.655037,ok,"Salinas, California, United States of America",Salinas,United States,us,6,California,CA,North America
Rancho Hills Trail Run,"Jul 5, 2025","Morgan Hill, CA (USA)",50k,37.130408,-121.6544974,ok,"Morgan Hill, California, United States of America",,United States,us,7,California,CA,North America
Badwater 135,"Jul 7, 2025","Death Valley, CA (USA)",135mi,36.4228722,-116.913718,ok,"Death Valley, CA 92328, United States of America",,United States,us,1,California,CA,North America
San Lorenzo River Trail Run,"Jul 12, 2025","Santa Cruz, CA (USA)",50k,37.050096,-121.99059,ok,"Santa Cruz County, California, United States of America",,United States,us,1,California,CA,North America
Almaden Hills Trail Run,"Aug 16, 2025","San Jose, CA (USA)",50k,37.3361663,-121.890591,ok,"San Jose, California, United States of America",San Jose,United States,us,3,California,CA,North America
Run-de-Vous,"Aug 29, 2025","San Martin, CA (USA)",50k 50m 100k 100mi,37.0849464,-121.6102216,ok,"San Martin, Santa Clara County, CA 95046, United States of America",,United States,us,7,California,CA,North America
Tanri Lake Race,"Sep 6, 2025","Miramonte, CA (USA)",10h,36.6924476,-119.0523321,ok,"Miramonte, Fresno County, CA 93641, United States of America",,United States,us,7,California,CA,North America
China Peak Running Festival,"Sep 6, 2025","Lakeshore, CA (USA)",50k,37.2521593,-119.173741,ok,"Lakeshore, Fresno County, CA 93634, United States of America",,United States,us,7,California,CA,North America
Wild Wild West Marathon And Ultra,"Oct 4, 2025","Lone Pine, CA (USA)",50k 50mi,39.7986996,-120.1253849,ok,"Lone Pine, Plumas County, CA 96105, United States of America",,United States,us,9,California,CA,North America
Spooner's Cove,"Oct 5, 2025","Los Osos, CA (USA)",50k,35.3107214,-120.832348,ok,"Los Osos, San Luis Obispo County, CA 93402, United States of America",,United States,us,7,California,CA,North America
Rancho Hills Trail Run,"Nov 8, 2025","Morgan Hill, CA (USA)",50k,37.130408,-121.6544974,ok,"Morgan Hill, California, United States of America",,United States,us,7,California,CA,North America
Tierra Redonda Mountain Trail Run,"Nov 14, 2025","Bradley, CA (USA)",24h 48h,35.862844,-120.8037184,ok,"Bradley, Monterey County, California, United States of America",,United States,us,9,California,CA,North America
Over The Hill Track Club High Desert 50k,"Dec 6, 2025","Ridgecrest, CA (USA)",50k,35.6206924,-117.672097,ok,"Ridgecrest, California, United States of America",Ridgecrest,United States,us,6,California,CA,North America
Calero Trail Run,"Dec 6, 2025","San Jose, CA (USA)",50k,37.3361663,-121.890591,ok,"San Jose, California, United States of America",San Jose,United States,us,3,California,CA,North America
San Joaquin River Trail,"Dec 6, 2025","Friant, CA (USA)",100k,36.983858,-119.7134624,ok,"Friant, Fresno County, CA 93626, United States of America",,United States,us,7,California,CA,North America
La Cuesta Ranch Trail Run,"Jan 24, 2026","San Luis Obispo, CA (USA)",50k,35.3540209,-120.375716,ok,"San Luis Obispo County, California, United States of America",,United States,us,1,California,CA,North America
Silver Moon Race - Kings River,"Apr 4, 2026","Reedley, CA (USA)",100mi 6h 12h 24h,36.5963906,-119.4511877,ok,"Reedley, California, United States of America",Reedley,United States,us,7,California,CA,North America
Bishop High Sierra,"May 17, 2025 (Past Event)","Bishop, CA (USA)",55k 50mi 100k,37.363679,-118.39524,ok,"Bishop, California, United States of America",Bishop,United States,us,7,California,CA,North America
Quicksilver,"May 10, 2025 (Past Event)","San Jose, CA (USA)",50k 100k,37.3361663,-121.890591,ok,"San Jose, California, United States of America",San Jose,United States,us,3,California,CA,North America
Hacienda Hills Trail Run,"May 3, 2025 (Past Event)","San Jose, CA (USA)",50k,37.3361663,-121.890591,ok,"San Jose, California, United States of America",San Jose,United States,us,3,California,CA,North America
Sierra Azul Trail Challenge Run,"Apr 19, 2025 (Past Event)","Los Gatos, CA (USA)",50k,37.226611,-121.9746797,ok,"Los Gatos, California, United States of America",,United States,us,7,California,CA,North America
"Terrible, Horrible, No Good, Very Bad Day 50k","Mar 29, 2025 (Past Event)","Los Gatos, CA (USA)",50k,37.226611,-121.9746797,ok,"Los Gatos, California, United States of America",,United States,us,7,California,CA,North America
Monterey Ultra,"Jan 25, 2025 (Past Event)","Monterey, CA (USA)",50mi,36.2231079,-121.387742,ok,"Monterey County, California, United States of America",,United States,us,1,California,CA,North America
Fort Ord Trail Run,"Jan 25, 2025 (Past Event)","Monterey, CA (USA)",50k,36.2231079,-121.387742,ok,"Monterey County, California, United States of America",,United States,us,1,California,CA,North America
Silver Moon Race - Paso Robles,"Feb 24, 2024 (Past Event)","Paso Robles, CA (USA)",100mi 6h 12h 24h,35.6262618,-120.6901319,ok,"Paso Robles, California, United States of America",Paso Robles,United States,us,6,California,CA,North America
Sonoma Coast Trail Runs,"May 31, 2025","Duncans Mills, CA (USA)",50k,38.4530799,-123.053713,ok,"Duncans Mills, Sonoma County, CA 95430, United States of America",,United States,us,7,California,CA,North America
Cinderella Trail,"Jun 1, 2025","Oakland, CA (USA)",50k,37.8044557,-122.271356,ok,"Oakland, California, United States of America",Oakland,United States,us,4,California,CA,North America
SF Half Day,"Jun 7, 2025","San Francisco, CA (USA)",6h 12h,37.7792588,-122.4193286,ok,"San Francisco, California, United States of America",San Francisco,United States,us,1,California,CA,North America
Mt Umunhum Ultras,"Jun 7, 2025","San Jose, CA (USA)",50k 52mi,37.3361663,-121.890591,ok,"San Jose, California, United States of America",San Jose,United States,us,3,California,CA,North America
Shadow of the Giants,"Jun 7, 2025","Fishcamp, CA (USA)",50k,37.4800388,-119.6397965,ok,"Fishcamp Lane, Fish Camp, Mariposa County, CA, United States of America",,United States,us,9,California,CA,North America
Tahoe 200 Endurance Run,"Jun 13, 2025","Homewood, CA (USA)",200m,39.0868516,-120.1601901,ok,"Homewood, Placer County, CA 96141, United States of America",,United States,us,7,California,CA,North America
Skyline Ridge Trail Run,"Jun 14, 2025","La Honda, CA (USA)",50k,37.3191086,-122.2741352,ok,"La Honda, San Mateo County, CA 94020, United States of America",,United States,us,7,California,CA,North America
Cool Moon Trail Runs,"Jun 14, 2025","Cool, CA (USA)",50mi 100mi,38.8870494,-121.0157991,ok,"Cool, El Dorado County, California, United States of America",,United States,us,7,California,CA,North America
Broken Arrow Skyrace,"Jun 19, 2025","Olympic Valley, CA (USA)",46k,39.1984156,-120.2298597,ok,"Olympic Valley, Placer County, CA 96146, United States of America",,United States,us,7,California,CA,North America
Burney Mountain 100,"Jun 20, 2025","Burney, CA (USA)",100mi,40.8884145,-121.6727826,ok,"Burney, Shasta County, CA 96013, United States of America",,United States,us,7,California,CA,North America
Headwaters Trail Runs,"Jun 21, 2025","Mount Shasta, CA (USA)",56k,41.4091977,-122.1948645,ok,"Mount Shasta, Siskiyou County, California, United States of America",,United States,us,9,California,CA,North America
