Race Name,Date,Location,Distance,Latitude,Longitude,Formatted,Website
3rd Thailand 50K Ultra Marathon,"Aug 03, 2025",Nakhon Pathom (THA),50km,13.8122395,100.1317513,"Tha Chalaep, Phet Kasem Road, Nakhon Chai Si, Nakhon Pathom Province 73120, Thailand",https://race.thai.run/thailandultra
3rd Thailand 100K Ultra Marathon,"Aug 03, 2025",Nakhon Pathom (THA),100km,13.8122395,100.1317513,"Tha Chalaep, Phet Kasem Road, Nakhon Chai Si, Nakhon Pathom Province 73120, Thailand",https://race.thai.run/thailandultra
12th World Cultural Heritage,"Aug 22, 2025","Yamanakako, Yamanashi Pref. (JPN)",97km,35.61602,138.608,"Yamanashi, Japan",https://www.ultratrailmtfuji.com/en/
11th The Most Beautiful Thing (TMBT) 100 km Ultra Trail Marathon,"Aug 30, 2025","Lingkubang, Sabah (MAS)",109km,3.7698,100.9879,"Sabak Bernam, Selangor, Malaysia",https://www.borneoultra.com/tmbt/
13th The Most Beautiful Thing (TMBT) 50 km Ultra Trail Marathon,"Aug 30, 2025","Lingkubang, Sabah (MAS)",48km,3.7698,100.9879,"Sabak Bernam, Selangor, Malaysia",https://www.borneoultra.com/tmbt/
19th Suncheon Bay 100 Km Ultramarathon,"Sep 06, 2025",Suncheon City (KOR),102km,34.94808,127.48947,"South Korea, Jeollanam-do Suncheon",https://www.kumf.or.kr/
3rd Borneo Trail Classic,"Sep 06, 2025",Kuching (MAS),50km,1.55,110.33333,"Kuching, Sarawak, Malaysia",https://www.borneotrailclassic.com/
6th Ultra-Trail Khao Eto,"Sep 06, 2025",Prachin Buri (THA),100km,14.049683,101.6215702,"Ban Tha Ta Meng, Kabin Buri, Thailand",https://race.thai.run/khaoeto
6th Ultra-Trail Khao Eto,"Sep 06, 2025",Prachin Buri (THA),58km,14.049683,101.6215702,"Ban Tha Ta Meng, Kabin Buri, Thailand",https://race.thai.run/khaoeto
4th Silk Route Ultra,"Sep 11, 2025","Kyagar, Nubra Valley (IND)",122km,32.81874,-85.17939,"Valley, Alabama, United States of America",https://ladakhraces.in/silk-route-ultra/
12. Khardung La Challenge (Ladakh Ultramarathon),"Sep 12, 2025",Khardung village (IND),72km,,,,https://ladakhraces.in/khardung-la-challenge/
11th Wuyuezhai International Trail Challenge,"Sep 14, 2025",Shijiazhuang City (CHN),50km,38.04139,114.47861,"Shijiazhuang, Hebei, China",https://www.ahotu.com/event/wuyuezhai-international-trail-challenge
25th Trans Korea 308 km West to East,"Sep 18, 2025","Changhu-ri, Ganghwa (KOR)",308km,,,,https://www.kumf.org/
12th Vietnam Mountain Marathon 100km,"Sep 19, 2025",Sapa town (VIE),100km,,,,https://vietnammountainmarathon.com/
6th Utdm 100 Ultra-Trail Doi Muser,"Sep 20, 2025",Mae Sot City (THA),100km,16.71667,98.56667,"Mae Sot, Changwat Tak, Thailand",https://www.utdm.run/
6th Utdm 65 Ultra-Trail Doi Muser,"Sep 20, 2025",Mae Sot City (THA),65km,16.71667,98.56667,"Mae Sot, Changwat Tak, Thailand",https://www.utdm.run/
12th Vietnam Mountain Marathon 70km,"Sep 20, 2025",Sapa town (VIE),70km,,,,https://vietnammountainmarathon.com/
12th Vietnam Mountain Marathon 50km,"Sep 20, 2025",Sapa town (VIE),47km,,,,https://vietnammountainmarathon.com/
3rd Brunei Backyard Ultra,"Sep 27, 2025",Bandar Seri Begawan (BRU),21h,4.94029,114.94806,"Bandar Seri Begawan, Brunei and Muara District, Brunei",https://www.facebook.com/BruneiBackyardUltra/
6th Cheonan Samgeori Ultramarathon - 100km,"Sep 27, 2025",Cheonan (KOR),100km,36.8065,127.1522,"South Korea, Chungcheongnam-do Cheonan",https://www.kumf.org/
6th Cheonan Samgeori Ultramarathon - 50km,"Sep 27, 2025",Cheonan (KOR),50km,36.8065,127.1522,"South Korea, Chungcheongnam-do Cheonan",https://www.kumf.org/
3rd Tone River Run Up Journey Run Upstream,"Oct 04, 2025",Saitama Pref. (JPN),121km,,,,https://journeyrunrunning.stores.jp/
3rd CNX 60K Ultra Marathon,"Oct 04, 2025",Chiang Mai (THA),60km,18.7668427,98.9648781,"Chiang Mai International Airport, 60, Warun Niwet Soi 2, Ban Warun Niwet, Chiang Mai Province 50200, Thailand",https://www.facebook.com/ChiangmaiUltraRun/
3rd CNX 100K Ultra Marathon,"Oct 04, 2025",Chiang Mai (THA),100km,18.7668427,98.9648781,"Chiang Mai International Airport, 60, Warun Niwet Soi 2, Ban Warun Niwet, Chiang Mai Province 50200, Thailand",https://www.facebook.com/ChiangmaiUltraRun/
3rd Onigajo 100 Km,"Oct 11, 2025","Kitauwa District, Ehime Pref. (JPN)",100km,,,,https://www.onigajo100.com/
6th Mapawa Ultra Trail 50 Km,"Oct 18, 2025",Mapawa Nature Park (PHI),55km,8.48333,124.65,"Mapawa Nature Park, Philippines",https://mapawaultra.com/
32. Ultramarathon Okumusashi,"Oct 19, 2025","Moroyama, Saitama Pref. (JPN)",78km,,,,https://www.sportsentry.ne.jp/event/t/93589
8th 800 Heroes - Overlord of Shuishalian 50Km,"Oct 19, 2025",Puli Township (TPE),50km,,,,https://www.800heroes.run/
8th 800 Heroes - Overlord of Shuishalian 100Km,"Oct 19, 2025",Puli Township (TPE),100km,,,,https://www.800heroes.run/
4th Shiroishi Minami Zao Ultra,"Oct 25, 2025","Shiroishi, Miyagi (JPN)",74.8km,38.0023671,140.6200214,"Shiroishi, Miyagi Prefecture, Japan",https://zao-trail.jp/
3rd Outopia HK Wild 50,"Oct 26, 2025",Hok Tau (HKG),55km,22.50131,114.17264,"Hok Tau Wai, Hong Kong",https://outdoorvoyage.com/adventures/hong-kong-wild-50-ultra-marathon/
13th Trainic world Ogose-Tokigawa Trail Run 50km,"Oct 26, 2025","Ogose, Saitama Pref. (JPN)",51.4km,35.68536,139.75309,Japan,https://www.trainic-world.org/
11th Buddha's Palm 69km Ultramarathon,"Nov 01, 2025",Tamsui District (TPE),69km,25.0780588,121.5051425,"Taiwan, Taipei Shilin District Tamsui River Bridge",https://www.wix.com/website-template/view/html/2573
11th Buddha's Palm 50km Ultramarathon Finger,"Nov 01, 2025",Shimen District (TPE),50km,29.5771,111.363,"Chujiang, Hunan, China",https://www.ultratiming.com.tw/
11th Buddha's Palm 100km Ultramarathon,"Nov 01, 2025",Tamsui District (TPE),100km,25.0780588,121.5051425,"Taiwan, Taipei Shilin District Tamsui River Bridge",https://www.ultratiming.com.tw/
11th Buddha's Palm 50km Ultramarathon,"Nov 01, 2025",Tamsui District (TPE),50km,25.0780588,121.5051425,"Taiwan, Taipei Shilin District Tamsui River Bridge",https://www.ultratiming.com.tw/
8th 800 Heroes - Overlord of Windy City 101Km,"Nov 02, 2025",Nanzhuang Township (TPE),101.1km,,,,https://800heroes.run/
8th 800 Heroes - Overlord of Windy City 52Km,"Nov 02, 2025",Nanzhuang Township (TPE),52.3km,,,,https://800heroes.run/
3rd Onigajo 100 Miles,"Nov 11, 2025","Kitauwa District, Ehime Pref. (JPN)",100mi,,,,https://www.facebook.com/onigajo100/
11. Okinawa Hontō survival run,"Nov 21, 2025","Naha, Okinawa Pref. (JPN)",400km,26.2206464,127.7106871,"DoubleTree by Hilton Naha Shuri Castle, Naha",https://www.survivalrun.okinawa/
Capital to Country Multi Day Ultra Nepal,"Nov 24, 2025",Sankhu (NEP),123mi/5stages,27.7291,85.46325,"Sankhu, Nepal",https://www.racingthenation.com/
5th Margalla Backyard Ultra,"Dec 06, 2025",Islamabad City (PAK),24h,33.6222072,73.0665754,"Islamabad, Pakistan",https://ultrapakistan.com/
8th 800 Heroes - Jinshui Camp Trail westward 53Km,"Dec 06, 2025",Fangliao Township (TPE),53km,,,,https://800heroes.run/
8th 800 Heroes - Jinshui Camp Trail 99Km,"Dec 06, 2025",Fangliao Township (TPE),100km,,,,https://800heroes.run/
8th 800 Heroes - Jinshui Camp Trail 106Km,"Dec 06, 2025",Fangliao Township (TPE),106km,,,,https://800heroes.run/
8th 800 Heroes - Jinshui Camp Trail eastward 53Km,"Dec 06, 2025",Dawu Township (TPE),53km,,,,https://800heroes.run/
3rd KL Sundown 2025,"Dec 13, 2025",Kuala Lumpur (MAS),12h,3.119294,101.7249994,"Kuala Lumpur, Malaysia",https://www.klsundown.com/
5. Khaoyai 60K Ultra Road Marathon,"Dec 13, 2025",KhaoYai (THA),60km,,,,https://www.runlah.com/events/kyo25
5. Khaoyai 100K Ultra Road Marathon,"Dec 13, 2025",KhaoYai (THA),100km,,,,https://www.runlah.com/events/kyo25
10th LKL-DMT 111km,"Jan 16, 2026",Khun Chae NP (THA),111km,,,,https://ultraspirethailand.com/
7th Malatra Endurance Run 24h,"Jan 31, 2026",Putrajaya (MAS),24h,2.93527,101.69112,"Putrajaya, Malaysia",https://www.malatra.run/
8th Vietnam Trail Marathon,"Jan 31, 2026",Moc Chau (VIE),70km,20.85199,104.62177,"Moc Chau, Vietnam",https://vietnamtrailseries.com/vtm/
1st Praying Temple Ultra Run,"Feb 21, 2026",Zhubei City (TPE),46km,24.83833,121.00778,"Zhubei, Taiwan",https://www.ultratiming.com.tw/
2nd Izuichi Great Race,"Mar 20, 2026",Numazu City (JPN),250km,35.0960529,138.8630904,"Numazu, Japan",https://www.izuichi.com/
10th Beigan Ultramarathon,"Mar 21, 2026",Beigan Township (TPE),50km,,,,https://www.ultratiming.com.tw/
10th Borneo Ultra Trail Marathon BUTM - 100 Km,"Apr 11, 2026","Pekan Kiulu, Kota Kinabalu (MAS)",106km,5.9749,116.0724,"Kota Kinabalu, Malaysia",https://www.borneoultra.com/
10th Borneo Ultra Trail Marathon BUTM - 50 km,"Apr 11, 2026","Pekan Tamparuli, Kota Kinabalu (MAS)",50km,5.9749,116.0724,"Kota Kinabalu, Malaysia",https://www.borneoultra.com/
33. Ultramarathon Okumusashi Quintet,"Oct 18, 2026","Moroyama, Saitama Pref. (JPN)",78km,,,,https://trainic-world.org/
Ultimate Direction BVRT100s,"20-21 Jun, 2025","Yarraman, Australia",50mi 100km 100mi 200mi,-26.829384,151.985735,"Yarraman QLD 4614, Australia",https://www.bvrt100s.com.au/
Johnson & Johnson Bondi to Manly Ultra,"25 Oct, 2025","Sydney, Australia",80km,-33.768528,150.956856,"Sydney, NSW, Australia",https://bonditomanlyultra.com.au/
GC50 Run Festival,"16 Nov, 2025","Coolangatta, Australia",50km,-28.1703323,153.5304637,"Coolangatta QLD 4225, Australia",https://www.gc50runfestival.com.au/
Two Bays Trail Run,"11 Jan, 2026","Dromana, Australia",55.7km,-38.3418285,144.9655838,"Dromana VIC 3936, Australia",https://www.twobaystrailrun.com/
True Blue Ultra,"17 Jan, 2026","Australind, Australia",50km 75km 100km,-33.2807362,115.7204483,"Australind WA 6233, Australia",https://www.trueblueultra.com/
3 Waters Running Festival,"14 Apr, 2024","Bunbury, Australia",50km,-33.3267797,115.636698,"Bunbury, WA, Australia",https://www.bunburyrunnersclub.org/
The Cut Ultra Marathon,"26 Oct, 2024 (Sat)","Nerang, Australia",50km,-27.977545,153.3124432,"Nerang QLD 4211, Australia",https://www.aura.asn.au/event/the-cut-ultra/
fisiocrem GC50 Run Festival,"24 Nov, 2024 (Sun)","Coolangatta, Australia",50km,-28.1703323,153.5304637,"Coolangatta QLD 4225, Australia",https://www.gc50runfestival.com.au/
Trail Trips Triple Crown,"29 Nov, 2024 (Fri)","Gold Coast, Australia",50km,-28.0023731,153.4145987,"Gold Coast City, Queensland, Australia",https://trailtrips.com.au/
Bruny Island Ultra Marathon,"30 Nov, 2024 (Sat)","Bruny Island, Australia",64km,-43.2898931,147.2890738,"Alonnah TAS 7150, Australia",https://www.brunyislandultra.com.au/
Delirious West 200 and 100 Miler,"09-11 Apr, 2025 (Wed - Fri)","Northcliffe, Australia",103mi 211mi,-34.6331785,116.1243645,"Northcliffe WA 6262, Australia",https://www.deliriouswest200miler.com.au/
Urban Coast Ultra,"21 Apr, 2025 (Mon)","Mullaloo, Australia",64km,-31.777283,115.7427465,"Mullaloo WA 6027, Australia",https://ultraseries.com.au/event/urban-coast-ultra/
The Great Wheelbarrow Race,"09 May, 2025 (Fri)","Mareeba, Australia",140km,-16.9932257,145.4224301,"Mareeba QLD 4880, Australia",https://greatwheelbarrowrace.com.au/
Great Ocean Road Marathon,"18 May, 2025 (Sun)","Lorne, Australia",44km 60km,-38.5411691,143.9748166,"Lorne VIC 3232, Australia",https://greatoceanroadrunfest.com.au/
Calero Trail Run,"May 31, 2025","San Jose, CA (USA)",50k,37.3361663,-121.890591,"San Jose, California, United States of America",https://ultrasignup.com/register.aspx?did=117875
Spartan Trail Monterey,"Jun 1, 2025","Salinas, CA (USA)",50k,36.6744117,-121.655037,"Salinas, California, United States of America",https://www.spartan.com/
Golden State 50K,"Jun 21, 2025","Salinas, CA (USA)",50k,36.6744117,-121.655037,"Salinas, California, United States of America",https://insidetrail.com/calendar/golden-state-trail-run/
Rancho Hills Trail Run,"Jul 5, 2025","Morgan Hill, CA (USA)",50k,37.130408,-121.6544974,"Morgan Hill, California, United States of America",https://tctruns.com/ranchohillstrailrun/
Badwater 135,"Jul 7, 2025","Death Valley, CA (USA)",135mi,36.4228722,-116.913718,"Death Valley, CA 92328, United States of America",https://www.badwater.com/event/badwater-135/
San Lorenzo River Trail Run,"Jul 12, 2025","Santa Cruz, CA (USA)",50k,37.050096,-121.99059,"Santa Cruz County, California, United States of America",https://runsignup.com/Race/CA/SantaCruz/SanLorenzoRiverTrailRun
Almaden Hills Trail Run,"Aug 16, 2025","San Jose, CA (USA)",50k,37.3361663,-121.890591,"San Jose, California, United States of America",https://tctruns.com/almadenhills-summer/
Run-de-Vous,"Aug 29, 2025","San Martin, CA (USA)",50k 50m 100k 100mi,37.0849464,-121.6102216,"San Martin, Santa Clara County, CA 95046, United States of America",https://ultrasignup.com/register.aspx?did=126028
Tanri Lake Race,"Sep 6, 2025","Miramonte, CA (USA)",10h,36.6924476,-119.0523321,"Miramonte, Fresno County, CA 93641, United States of America",https://ultrasignup.com/register.aspx?did=124113
China Peak Running Festival,"Sep 6, 2025","Lakeshore, CA (USA)",50k,37.2521593,-119.173741,"Lakeshore, Fresno County, CA 93634, United States of America",https://ultrasignup.com/register.aspx?did=119061
Wild Wild West Marathon And Ultra,"Oct 4, 2025","Lone Pine, CA (USA)",50k 50mi,39.7986996,-120.1253849,"Lone Pine, Plumas County, CA 96105, United States of America",https://lonepinechamber.org/wild-west-marathon/
Rancho Hills Trail Run,"Nov 8, 2025","Morgan Hill, CA (USA)",50k,37.130408,-121.6544974,"Morgan Hill, California, United States of America",https://tctruns.com/rancho-hills-trail-run-fall/
Tierra Redonda Mountain Trail Run,"Nov 14, 2025","Bradley, CA (USA)",24h 48h,35.862844,-120.8037184,"Bradley, Monterey County, California, United States of America",https://allwedoisrun.com/
Over The Hill Track Club High Desert 50k,"Dec 6, 2025","Ridgecrest, CA (USA)",50k,35.6206924,-117.672097,"Ridgecrest, California, United States of America",https://ultrasignup.com/register.aspx?did=125682
Calero Trail Run,"Dec 6, 2025","San Jose, CA (USA)",50k,37.3361663,-121.890591,"San Jose, California, United States of America",https://tctruns.com/calero-trail-run-winter/
San Joaquin River Trail,"Dec 6, 2025","Friant, CA (USA)",100k,36.983858,-119.7134624,"Friant, Fresno County, CA 93626, United States of America",https://www.sanjoaquinsrunning.com/
La Cuesta Ranch Trail Run,"Jan 24, 2026","San Luis Obispo, CA (USA)",50k,35.3540209,-120.375716,"San Luis Obispo County, California, United States of America",https://allwedoisrun.com/
Silver Moon Race - Kings River,"Apr 4, 2026","Reedley, CA (USA)",100mi 6h 12h 24h,36.5963906,-119.4511877,"Reedley, California, United States of America",https://silvermoonrace.com/kings-river/
Bishop High Sierra,"May 17, 2025 (Past Event)","Bishop, CA (USA)",55k 50mi 100k,37.363679,-118.39524,"Bishop, California, United States of America",https://bishopultras.com/
Quicksilver,"May 10, 2025 (Past Event)","San Jose, CA (USA)",50k 100k,37.3361663,-121.890591,"San Jose, California, United States of America",https://www.quicksilver-running.com/races
Hacienda Hills Trail Run,"May 3, 2025 (Past Event)","San Jose, CA (USA)",50k,37.3361663,-121.890591,"San Jose, California, United States of America",https://tctruns.com/hacienda-hills-trail-run-spring/
Sierra Azul Trail Challenge Run,"Apr 19, 2025 (Past Event)","Los Gatos, CA (USA)",50k,37.226611,-121.9746797,"Los Gatos, California, United States of America",https://tctruns.com/sierra-azul-trail-challenge/
Terrible Horrible No Good Very Bad Day 50k,"Mar 29, 2025 (Past Event)","Los Gatos, CA (USA)",50k,37.226611,-121.9746797,"Los Gatos, California, United States of America",https://greateridiot.blogspot.com/p/terrible-horrible-no-good-very-bad-day.html
Monterey Ultra,"Jan 25, 2025 (Past Event)","Monterey, CA (USA)",50mi,36.2231079,-121.387742,"Monterey County, California, United States of America",https://insidetrail.com/calendar/monterey-ultra-50m/
Fort Ord Trail Run,"Jan 25, 2025 (Past Event)","Monterey, CA (USA)",50k,36.2231079,-121.387742,"Monterey County, California, United States of America",https://insidetrail.com/calendar/fort-ord-trail-run/
Silver Moon Race - Paso Robles,"Feb 24, 2024 (Past Event)","Paso Robles, CA (USA)",100mi 6h 12h 24h,35.6262618,-120.6901319,"Paso Robles, California, United States of America",https://silvermoonrace.com/paso/
Sonoma Coast Trail Runs,"May 31, 2025","Duncans Mills, CA (USA)",50k,38.4530799,-123.053713,"Duncans Mills, Sonoma County, CA 95430, United States of America",https://skybreakerracing.com/
Cinderella Trail,"Jun 1, 2025","Oakland, CA (USA)",50k,37.8044557,-122.271356,"Oakland, California, United States of America",https://runsignup.com/Race/CA/Oakland/CinderellaTrailRun
SF Half Day,"Jun 7, 2025","San Francisco, CA (USA)",6h 12h,37.7792588,-122.4193286,"San Francisco, California, United States of America",https://runsignup.com/Race/CA/SanFrancisco/SFOneDay/
Mt Umunhum Ultras,"Jun 7, 2025","San Jose, CA (USA)",50k 52mi,37.3361663,-121.890591,"San Jose, California, United States of America",https://tctruns.com/mtumunhumultras/
Shadow of the Giants,"Jun 7, 2025","Fishcamp, CA (USA)",50k,37.4800388,-119.6397965,"Fishcamp Lane, Fish Camp, Mariposa County, CA, United States of America",https://www.sanjoaquinrunning.com/shadow-of-the-giants-50k-20k-fun-run
Tahoe 200 Endurance Run,"Jun 13, 2025","Homewood, CA (USA)",200m,39.0868516,-120.1601901,"Homewood, Placer County, CA 96141, United States of America",https://www.destinationtrailrun.com/tahoe
Skyline Ridge Trail Run,"Jun 14, 2025","La Honda, CA (USA)",50k,37.3191086,-122.2741352,"La Honda, San Mateo County, CA 94020, United States of America",https://scenaperformance.com/events/skyline-50k/
Cool Moon Trail Runs,"Jun 14, 2025","Cool, CA (USA)",50mi 100mi,38.8870494,-121.0157991,"Cool, El Dorado County, California, United States of America",https://coolmoon100.com/
Broken Arrow Skyrace,"Jun 19, 2025","Olympic Valley, CA (USA)",46k,39.1984156,-120.2298597,"Olympic Valley, Placer County, CA 96146, United States of America",https://www.brokenarrowskyrace.com/
Burney Mountain 100,"Jun 20, 2025","Burney, CA (USA)",100mi,40.8884145,-121.6727826,"Burney, Shasta County, CA 96013, United States of America",https://www.intermountainendurance.com/
Headwaters Trail Runs,"Jun 21, 2025","Mount Shasta, CA (USA)",56k,41.4091977,-122.1948645,"Mount Shasta, Siskiyou County, California, United States of America",https://www.headwaterstrailruns.net/
Western States 100,"Jun 28, 2025","Olympic Valley, CA (USA)",100mi,39.1984156,-120.2298597,"Olympic Valley, Placer County, CA 96146, United States of America",https://www.wser.org/
Signal Peak Trail Runs,"Jul 5, 2025","Emigrant Gap, CA (USA)",50k,39.3013284,-120.6603526,"Emigrant Gap, Placer County, CA 95715, United States of America",https://skybreakerracing.com/signal-peak-trail-runs/
Dirty Dozen and Half Dozen,"Jul 12, 2025","Pinole, CA (USA)",6h 12h,38.0043667,-122.2988587,"Pinole, CA 94564, United States of America",https://brazenracing.com/dirtydozen/
Lost Sierra Endurance Race,"Jul 26, 2025","Downieville, CA (USA)",50k 100k,39.5604439,-120.828217,"Downieville, Sierra County, California, United States of America",https://ultrasignup.com/register.aspx?did=117825
Great Shasta Rail Trail,"Jul 26, 2025","McCloud, CA (USA)",50k,41.2497685,-122.1352663,"McCloud, Siskiyou County, California, United States of America",https://www.greatshastarailtrail.org/
The San Francisco Marathon,"Jul 27, 2025","San Francisco, CA (USA)",52.4mi,37.7792588,-122.4193286,"San Francisco, California, United States of America",https://www.thesfmarathon.com/
Folsom 100,"Aug 1, 2025","Granite Bay, CA (USA)",54mi 100mi,38.7632346,-121.1638361,"Granite Bay, Placer County, California, United States of America",https://www.ssmountainracing.com/
Rodeo Valley Trail Run,"Aug 2, 2025","Sausalito, CA (USA)",50k,37.8590272,-122.485469,"Sausalito, CA 94965, United States of America",https://insidetrail.com/calendar/rodeo-valley-trail-run/
Skyline 50K,"Aug 3, 2025","San Leandro, CA (USA)",50k,37.7249296,-122.1560768,"San Leandro, California, United States of America",https://www.skyline50k.com/
Tamalpa Headlands 50K,"Aug 16, 2025","Muir Beach, CA (USA)",50k,37.8621493,-122.5813667,"Muir Beach, Marin County, CA 94841, United States of America",https://www.headlands50k.com/
Trail Run at Sly Park,"Aug 23, 2025","Pollack Pines, CA (USA)",50k,37.25022,-119.75126,"California, United States of America",https://tctruns.com/trailrunatslypark_fall/
